frame,trans_error,rot_error_deg
0,nan,nan
1,0.0123156,0.118185
2,0.00731895,0.0738172
3,0.0745817,0.329932
4,0.0171228,0.0699389
5,0.0110309,0.072483
6,0.0105636,0.0264584
7,0.0401226,0.0422628
8,0.0190722,0.0846491
9,0.0315855,0.0880543
10,0.00810558,0.0938604
11,0.039742,0.278104
12,0.0421034,0.0651373
13,0.0293039,0.0544683
14,0.0216042,0.262148
15,0.0634111,0.276181
16,0.0169181,0.109632
17,0.0207185,0.0612884
18,0.0406534,0.0271816
19,0.0381939,0.149615
20,0.0242904,0.0410119
21,0.0440425,0.185507
22,0.0152606,0.127073
23,0.00997272,0.0871068
24,0.0400721,0.17922
25,0.0705877,0.0376461
26,0.0522427,0.492598
27,0.0414829,0.0454777
28,0.0228126,0.083742
29,0.0537335,0.277095
30,0.0281491,0.171
31,0.037802,0.240458
32,0.0279842,0.193505
33,0.0332726,0.202423
34,0.0998734,0.0880298
35,0.0731908,0.217761
36,0.0191778,0.279062
37,0.0592906,0.00825909
38,0.0618965,0.169242
39,0.0597958,0.16931
40,0.0381993,0.247171
41,0.0120418,0.207162
42,0.0152629,0.0928268
43,0.0401095,0.110145
44,0.0193927,0.199075
45,0.0155432,0.277614
46,0.0527011,0.349701
47,0.0142014,0.280916
48,0.0486457,0.0507612
49,0.0603548,0.661724
50,0.104636,0.108273
51,0.00518081,0.0826113
52,0.00839545,0.17357
53,0.0380612,0.0843429
54,0.0448696,0.304688
55,0.0819502,0.159044
56,0.0759387,0.084692
57,0.0853499,0.312765
58,0.0262909,0.142305
59,0.0292254,0.371098
60,0.00415379,0.137541
61,0.0399151,0.702124
62,0.0345987,0.219287
63,0.0174222,0.39381
64,0.00159472,0.0389001
65,0.0537022,0.263053
66,0.0346694,0.13469
67,0.0219453,0.129571
68,0.0387497,0.485456
69,0.0440815,0.992408
70,0.0512403,0.766478
71,0.0577538,0.929361
72,0.0458411,0.858249
73,0.017047,0.294721
74,0.0315517,0.154319
75,0.046909,0.731481
76,0.0548166,0.969954
77,0.0218699,0.370857
78,0.0116704,0.457363
79,0.0564494,0.979277
80,0.040631,0.557168
81,0.0103802,0.158365
82,0.0327967,0.68265
83,0.075516,1.42879
84,0.0338492,0.697219
85,0.0481594,0.332673
86,0.0300907,0.350284
87,0.0151078,0.282833
88,0.0187948,0.405322
89,0.033512,0.707949
90,0.0606528,0.453625
91,0.0420174,0.445866
92,0.0239873,0.406059
93,0.0249646,0.327733
94,0.00386383,0.162138
95,0.00576361,0.0690849
96,0.00843387,0.103948
97,0.0254401,0.403706
98,0.0192863,0.617938
99,0.0648892,1.34788
100,0.0116765,0.635902
101,0.0097776,0.0835357
102,0.051082,1.09955
103,0.0265276,0.726212
104,0.010205,0.382492
105,0.00793296,0.146317
106,0.0181941,0.366072
107,0.0109614,0.377772
108,0.0230526,0.425249
109,0.0215488,0.77708
110,0.0894788,0.494179
111,0.0493222,0.366311
112,0.092801,0.88361
113,0.0340414,0.450696
114,0.00487693,0.0743642
115,0.0505848,0.29139
116,0.00175999,0.294624
117,0.0300061,0.401457
118,0.0593596,0.73778
119,0.0202149,0.103071
120,0.0271704,0.52752
121,0.0469995,0.367108
122,0.0425281,0.409735
123,0.0331931,0.405237
124,0.0556309,1.03453
125,0.0426752,0.693615
126,0.0294613,0.458103
127,0.028185,0.196513
128,0.0154114,0.161928
129,0.0375524,0.160564
130,0.0323237,0.0288928
131,0.0970516,0.0477436
132,0.0595539,0.265678
133,0.00869971,0.0902773
134,0.0641286,0.298751
135,0.0991832,0.538171
136,0.060145,0.377338
137,0.0208776,0.0407687
138,0.0215569,0.23371
139,0.0805762,0.730635
