frame,trans_error,rot_error_deg
264,0.114551,0.121192
265,0.282855,0.70976
266,0.285085,0.119004
267,0.0391009,0.485009
268,0,0.470544
269,0.136858,0.415649
270,0.343658,0.432505
271,0.202912,0.130295
272,0.233751,0.373869
273,0.388451,0.660905
274,0.195696,0.129594
275,0.0878113,0.642177
276,0.0753273,0.686712
277,0.150607,0.304471
278,0.328675,0.997433
279,0.100154,0.405109
280,0.120503,1.26789
281,0.423864,0.18041
282,0.375684,1.35644
283,0.139996,0.275777
284,0.129691,0.26953
285,0.126162,0.41209
286,0.220296,1.34736
287,0.22193,1.46816
288,0.0577036,0.371856
289,0.0368797,0.572291
290,0.180087,0.216966
291,0.0361035,0.148695
292,0.0309584,1.06355
293,0.245611,0.854165
294,0.0282125,1.04365
295,0.31831,0.085063
296,0.10557,0.387053
297,0.228792,0.229822
298,0.109359,0.135956
299,0.391965,2.13396
300,0.16227,0.268209
301,0.341541,0.251595
302,0,3.2369
303,0.221656,2.82282
304,0,2.50317
305,0.157231,1.44199
306,0.179437,0.186874
307,1.86987,2.63556
308,0.376361,1.0526
309,0.359071,1.82591
310,1.86764,2.29646
311,0.471462,2.05779
312,0.605645,0.284227
313,0.616,1.56625
314,0.314679,0.670633
315,0,2.47244
316,1.21847,1.80295
317,1.38449,1.3397
318,1.60192,0.789858
319,1.06498,0.364559
320,1.50023,1.36014
321,1.06282,0.146536
322,0,2.52257
323,0.736042,0.914695
324,0.921577,0.725146
325,0.487682,0.476823
326,0.743009,1.46305
327,0.473964,1.0961
328,0.608658,0.629674
329,0.774062,0.228095
330,1.07821,2.22396
331,0.162784,0.217588
332,0.585312,0.700863
333,0.474183,1.83535
334,0.505885,2.18068
335,0.0834483,1.4966
336,0.392697,0.884698
337,0,2.9758
338,0.42873,0.717656
339,0,2.75816
340,0.661471,0.441531
341,1.17529,2.74586
342,0.448683,0.626366
343,1.23471,1.69746
344,0.459465,0.45684
345,0.782913,1.18671
346,1.41687,1.94891
347,0.561882,0.846538
348,0.873622,1.69233
349,0,1.50648
350,0.117051,1.74081
351,0.040369,0.296673
352,0,1.00203
353,0.0742106,0.709815
354,1.29916,2.91108
355,0,0.474584
356,0.12754,0.569
357,0.734198,0.549072
358,0.0508046,0.139969
359,0.0835085,0.161008
360,0.64174,0.782596
361,0.269588,0.15533
362,0.724681,1.64093
363,0.746495,1.00673
364,1.02383,3.02242
365,0,2.49558
366,0.389936,0.461409
367,0.786662,2.80866
368,0.635671,0.54339
369,0.275527,0.250811
370,0.4064,0.491467
371,0,1.13219
372,0.936691,0.498902
