frame,trans_error,rot_error_deg
311,0.0445068,0
312,0.0903134,0
313,0.162077,0
314,0.742666,1.70755e-06
315,0.43377,0
316,0.148685,0
317,1.93407,0
318,0.305607,1.70755e-06
319,0.0667202,0
320,0.415328,0
321,0.392554,0
322,0.0525509,0
323,0.348967,0
324,0.405143,0
325,0.208369,1.70755e-06
326,0.413086,0
327,0.086272,0
328,0.178259,0
329,0.206496,1.70755e-06
330,0.299813,0
331,0.427254,0
332,0.815604,1.70755e-06
333,0.340596,0
334,0.552347,0
335,0.138666,0
336,0.266401,1.70755e-06
337,0.465486,0
338,0.403532,0
339,0,2.41484e-06
340,0.607561,2.41484e-06
341,0.0467624,0
342,0.0968196,1.70755e-06
343,0.327425,1.70755e-06
344,0.0163872,1.70755e-06
345,0.212816,0
346,0,2.41484e-06
347,0.0656905,0
348,0.180588,0
349,0.185277,0
350,0.269326,0
351,0.0687176,0
352,0.0215708,0
353,0.12437,0
354,0.0778932,0
355,0.799131,1.70755e-06
356,0.30134,1.70755e-06
357,1.66219,0
358,0.552274,0
359,0.129381,0
360,0.405136,0
361,0.351772,1.70755e-06
362,1.90079,0
363,0.0208644,1.70755e-06
364,0.475745,0
365,1.97073,0
366,0.326132,0
367,0.504385,0
368,1.57762,0
369,0.256802,0
370,0.558139,0
371,0.598698,0
372,0.0671742,1.70755e-06
373,1.04241,1.70755e-06
374,1.17977,2.41484e-06
375,1.39771,0
376,0.198653,0
377,0.607824,0
378,0,0
379,0.96697,2.41484e-06
380,0,2.41484e-06
381,0.625793,1.70755e-06
382,0.0360273,1.70755e-06
383,0.701128,0
384,0,0
385,0.155546,0
386,0.654495,0
387,1.18598,0
388,1.17132,0
389,0.781661,1.70755e-06
390,0.0890533,0
391,0.166651,0
392,0.424432,0
393,0.697561,0
394,0.700632,0
395,0.989785,0
396,0.150688,0
397,0.113029,1.70755e-06
398,0.654492,2.41484e-06
399,0.869273,1.70755e-06
400,0.0646165,0
401,0.56627,0
402,0.597319,0
403,0.155531,0
404,0.085336,0
405,0.0195391,1.70755e-06
406,0.117844,0
407,0.12532,1.70755e-06
408,0.0638904,0
409,0.375784,0
410,0.75492,1.70755e-06
411,1.15469,0
412,0.100546,0
413,0.344908,0
414,0.511222,0
415,0.0300674,0
416,0.656047,0
417,0.177161,0
418,0.249501,2.41484e-06
419,0.884255,1.70755e-06
420,0.52011,0
421,0,0
422,0.493028,0
423,0.149195,0
424,0.28623,2.41484e-06
425,0.109217,0
426,0.194082,0
427,0.103838,1.70755e-06
428,0.116248,0
429,0.0637791,1.70755e-06
430,0.0731394,0
431,0.126131,1.70755e-06
432,0.120075,1.70755e-06
433,0.00674218,0
434,0.0699854,2.41484e-06
435,0,1.70755e-06
436,0.0223884,2.41484e-06
437,0.0161478,0
438,0.133724,1.70755e-06
439,0.0109586,0
440,0.0841261,0
441,0,2.41484e-06
442,0.0280567,1.70755e-06
443,0.0269212,1.70755e-06
444,0.0742897,0
445,0.0495214,0
446,0,0
447,0.126758,0
448,0.0108617,0
449,0.0912881,0
450,0,2.41484e-06
451,0.8728,1.70755e-06
452,0.977117,0
453,0.640027,0
454,0.582594,0
455,0.796172,0
456,0.455132,0
457,0.134973,0
458,0.0349576,0
459,0.0396056,0
460,0.492579,0
461,0.938113,0
462,0.0315344,0
463,0.108163,0
464,0.442601,1.70755e-06
465,0.569203,0
466,0.417027,0
467,0.703913,2.95756e-06
468,0,2.41484e-06
469,1.03412,0
470,0.022761,0
471,0.113026,0
472,0.157748,0
473,0.104559,0
474,0.558746,2.41484e-06
475,0.684762,0
476,0,0
477,0.769507,0
478,0.170785,1.70755e-06
479,0.270083,2.41484e-06
480,0.330085,0
481,0.107232,0
482,0.0163593,0
483,0.122747,0
484,0.0678636,0
485,0.0181145,1.70755e-06
486,0.0270467,0
487,0.037377,0
488,0.0497356,0
489,0.0412166,0
490,0.615652,0
491,0.982632,0
492,0.212677,2.41484e-06
493,0,0
494,0.0187812,0
495,0.105044,1.70755e-06
496,0.273935,0
497,0.339417,1.70755e-06
498,0.204319,1.70755e-06
499,0,0
500,0.910103,0
501,0.121427,0
502,0.0304587,0
503,0.115205,1.70755e-06
504,0.101658,0
505,0.0468867,0
506,0.206235,0
507,0.240423,1.70755e-06
508,0.272761,0
509,0.0292713,0
510,0.352239,0
511,1.90135,1.70755e-06
512,0.288194,0
513,0.0925317,0
514,0.394121,0
515,0.431321,0
516,1.00279,2.41484e-06
517,0.477155,1.70755e-06
518,0.681852,1.70755e-06
519,1.16069,0
520,0.0636175,2.41484e-06
521,0.202587,1.70755e-06
522,0.038869,0
523,0.461114,0
524,1.96122,0
525,1.95915,2.41484e-06
526,0.297192,0
527,0.423736,0
528,0.0845906,0
529,0.27791,0
530,0.316619,0
531,0.47064,2.95756e-06
532,0.360359,2.41484e-06
533,1.69724,0
534,0.955452,1.70755e-06
535,0.423549,0
536,1.92536,0
537,0.186109,1.70755e-06
538,0.385343,0
539,0,0
540,0.514799,0
541,1.46916,1.70755e-06
542,1.96564,0
543,0.151094,0
544,0.0133863,0
545,0.198075,0
546,0.0902374,0
547,0.182741,0
548,1.6534,1.70755e-06
549,0,1.70755e-06
550,0.569787,1.70755e-06
551,0.913956,0
552,0.9021,1.70755e-06
553,0.393935,0
554,0.999881,1.70755e-06
555,0.534098,0
556,0.929885,1.70755e-06
557,0.756487,0
558,0.174057,0
559,0.133137,0
560,0.120398,0
561,1.08877,0
562,0.937815,0
563,0.418117,1.70755e-06
564,0.25347,0
565,0.0905355,0
566,0.484426,0
567,0.0581404,0
568,0.0343004,0
569,0.1047,0
570,0.171598,0
571,0.0514607,0
572,0.0166703,0
573,0.151124,2.41484e-06
574,0.0609936,0
575,0.81154,1.70755e-06
576,0.568395,1.70755e-06
577,0.829056,0
578,0.0653343,0
579,0.16933,1.70755e-06
580,0.702114,0
581,0.721778,0
582,0.232755,0
583,0,0
584,1.21426,0
585,0.0587655,0
586,0.0308491,0
587,0.0723988,0
588,0,0
589,0.491668,0
590,0,0
591,0.835627,0
592,0.505935,0
593,0.391527,0
594,0.475405,1.70755e-06
595,1.03011,0
596,0.505379,0
597,0.650216,0
598,0.529907,0
599,0.284253,1.70755e-06
600,0.180519,1.70755e-06
601,0.336307,0
602,0.346856,0
603,0.158076,1.70755e-06
604,0.353227,0
605,0.756501,0
606,0.618989,0
607,0.589947,0
608,0.740546,0
609,0.392081,1.70755e-06
610,0.634002,0
611,0.930411,0
612,0.463927,0
613,0.528981,0
614,0.118159,0
615,1.1836,0
616,0.0447438,1.70755e-06
617,0.0297053,0
618,0.233959,0
619,0.211837,0
620,0.271759,0
621,0.400403,0
622,0.0290042,0
623,0.358489,0
624,0.0885619,0
625,0.0109672,0
626,0.0303045,0
627,0.386754,0
628,0.562236,0
629,0.244276,0
630,0.143853,0
631,0.248099,0
632,0.0336861,0
633,0.584388,0
634,0.177974,0
635,0.0775411,0
636,0,0
637,0.0348316,0
638,0.0239517,0
639,0.227407,0
640,0.0684129,0
641,0.0712034,1.70755e-06
642,0.0702112,0
643,0.169368,0
644,0.0833533,1.70755e-06
645,0.0625032,0
646,0.0330447,0
647,0.0383047,0
648,0.0479255,1.70755e-06
649,0.580123,0
650,0.376378,0
651,0.0352283,0
652,0.108895,0
653,0.0170058,0
654,0.114008,1.70755e-06
655,0.0348088,1.70755e-06
656,0.0696232,0
657,0.0249061,0
658,0.00939741,1.70755e-06
659,0.0173287,0
660,0.0370317,0
661,0.0233973,0
662,0.0629217,0
663,0.0333464,2.41484e-06
664,0.0402129,0
665,0.0190243,0
666,0.0154233,0
667,0.0590562,0
668,0.0206343,0
669,0.0554022,0
670,0,0
671,0.00304344,0
672,0,0
673,0.0475547,0
674,0.034851,0
675,0.056539,0
676,0.00456439,0
677,0.0391005,0
678,0.00454031,1.70755e-06
679,0.00685159,0
680,0.0217483,0
681,0,0
682,0.00360551,0
683,0.0171891,0
684,0.0712704,0
685,0.0180056,0
686,0.016531,0
687,0.0343442,1.70755e-06
688,0.00653286,1.70755e-06
689,0.0657935,0
690,0,0
691,0.020886,0
692,0.0140072,1.70755e-06
693,0.0161562,0
694,0,0
695,0.0229071,0
696,0.0794166,0
697,0.0300149,0
698,0.0203793,0
699,0.0313902,0
700,0.0584944,0
701,0.00485963,0
702,0.0231049,0
703,0.00665561,0
704,0.0699466,0
705,0.0476092,0
706,0.0231855,0
707,0.00223626,0
708,0.0287524,0
709,0.0212697,0
710,0.0144965,0
711,0.0201122,0
712,0.0228343,0
713,0.686992,0
714,0.321867,0
715,0.0786266,0
716,0.0334837,0
717,0.26299,0
718,0.229629,0
719,0.308891,0
720,0,0
721,0.422171,0
722,0.449505,0
723,0.0363484,0
724,0.0316431,2.41484e-06
725,1.38215,0
726,1.00522,0
727,1.23159,0
728,0.914044,0
729,0,0
730,0.906882,1.70755e-06
731,0.391071,0
732,0.154307,0
733,0.0240702,0
734,0.162761,0
735,1.17891,0
736,0.1333,0
737,0.128512,2.95756e-06
738,0.0480457,0
739,0.274056,0
740,0.084794,0
741,0.402829,0
742,0.292038,0
743,0.0797831,0
744,0.0582116,1.70755e-06
745,0.201368,0
746,0,0
747,0.191436,0
748,0.0870929,0
749,0.24488,1.70755e-06
750,0.172009,0
751,0.0354395,0
752,0.323201,0
753,1.79948,0
754,0.382202,2.41484e-06
755,1.93451,1.70755e-06
756,0.0496162,2.41484e-06
757,0.418295,0
758,0.0824051,0
759,0.0820124,0
760,0.656865,0
761,0.415662,0
762,0.745574,0
763,0.913652,0
764,0.193442,0
765,0.287905,1.70755e-06
766,1.4529,1.70755e-06
767,1.00576,0
768,0.218137,0
769,0.965037,0
770,1.08077,0
771,0.138586,0
772,0.715624,1.70755e-06
773,0.823202,0
774,0.482067,0
775,0.782432,2.41484e-06
776,0.385595,0
777,0.474718,0
778,0.493254,1.70755e-06
779,1.58315,0
780,0.583325,0
781,0.0190781,1.70755e-06
782,0.86237,0
783,1.7999,0
784,0.378795,0
785,1.73285,0
786,0.430059,1.70755e-06
787,0.369119,0
788,1.0509,2.41484e-06
789,1.98815,0
790,0,0
791,1.86085,1.70755e-06
792,0.380852,1.70755e-06
793,0,2.41484e-06
794,0.631136,0
795,1.12822,0
796,1.3053,1.70755e-06
797,0.714536,1.70755e-06
798,0,0
799,0.996879,1.70755e-06
800,1.82288,2.41484e-06
801,0,0
802,1.66283,0
803,0,0
804,1.9985,0
805,0.561404,0
806,0.0145094,0
807,0.127899,0
808,0.0188959,1.70755e-06
809,0.0253719,1.70755e-06
810,0.176101,0
811,0.160388,0
812,0.0810066,0
813,0.0183934,0
814,0.0422548,0
815,0.094588,1.70755e-06
816,0.184789,0
817,0.0960578,1.70755e-06
818,0.350314,0
819,0.259599,0
820,0.0076869,0
821,0.139884,1.70755e-06
822,0.144875,1.70755e-06
823,1.99896,0
824,0.0457574,0
825,0.153176,2.41484e-06
826,0.299647,0
827,0.321865,1.70755e-06
828,0.105464,0
829,0,0
830,0.30949,0
831,0,0
832,0.0776043,0
833,0.0533451,0
834,0.0358156,0
835,0.213843,0
836,0.314345,0
837,0.283854,1.70755e-06
838,0.0228155,0
839,0.0267928,0
840,0.267766,0
841,0.105639,0
842,0.25901,0
843,0.0330411,0
844,0.0561257,0
845,0.0977012,0
846,0,0
847,0.133141,1.70755e-06
848,0,0
849,0.0800876,1.70755e-06
850,0.189923,0
851,0.103831,0
852,0,0
853,0.781636,0
854,0.196112,0
855,0.0345583,1.70755e-06
856,0.0228381,0
857,0.00390277,0
858,0.097653,0
859,0.057814,1.70755e-06
860,0.0156282,0
861,0.0298208,0
862,0.115981,0
863,0.514872,0
864,0.376487,0
865,0.0649904,0
866,0.138675,2.41484e-06
867,0.0511905,1.70755e-06
868,0.0548734,0
869,0.0608732,0
870,0.0412454,0
871,0.0262065,0
872,0.0444536,0
873,0.0191789,0
874,0.0790343,1.70755e-06
875,0.0281269,0
876,0.0544701,0
877,0.0494927,0
878,0.00603884,0
879,0.0721775,1.70755e-06
880,0.0828353,0
881,0.316455,0
882,0.578409,0
883,0.146623,0
884,0.361458,1.70755e-06
885,0.203037,0
886,0.0718908,1.70755e-06
887,0.072101,0
888,0.229293,0
889,0.194127,0
890,1.85368,0
891,0.06684,0
892,1.92111,1.70755e-06
893,0.387078,0
894,0.0825634,0
895,0.0439431,0
896,0.304589,1.70755e-06
897,1.91849,1.70755e-06
898,0.0298055,0
899,0.477364,0
900,0,0
901,0.00764963,0
902,0.137208,0
903,1.86813,1.70755e-06
904,0.356689,1.70755e-06
905,0.0514282,1.70755e-06
906,0.0266939,1.70755e-06
907,0.111218,0
908,0.997636,0
909,0.304749,1.70755e-06
910,0.139601,0
911,0,0
912,0.362498,0
913,0,1.70755e-06
914,0.343074,0
915,1.96792,0
916,0.323713,0
917,0,0
918,0.508935,0
919,1.02819,0
920,0.0854492,0
921,0.309776,2.41484e-06
922,0.314155,0
923,0.112133,0
924,0.286836,1.70755e-06
925,0,0
926,0.0830941,1.70755e-06
927,0.0855786,0
928,0.0377412,0
929,0.0945333,0
930,0.175137,0
931,0.181247,1.70755e-06
932,0.184089,0
933,0,0
934,1.54505,0
935,1.56918,0
936,0.0627598,0
937,0.185066,0
938,0.249159,1.70755e-06
939,0.0706906,0
940,1.95151,1.70755e-06
941,0.0839692,0
942,0.742073,0
943,0,0
944,1.99847,0
945,0.0654344,0
946,0.0200582,1.70755e-06
947,0.0932502,0
948,0.255332,0
949,0.0526078,0
950,0.47256,0
951,0.142611,0
952,0.284383,0
953,0.129422,0
954,0.100715,2.41484e-06
955,0.0495916,2.41484e-06
956,0.274614,1.70755e-06
957,0.111904,0
958,0.296884,0
959,0,0
960,0.39771,0
961,0.148583,0
962,0.0134517,0
963,0.074453,0
964,0.380827,0
965,0.320874,1.70755e-06
966,0.0654982,2.41484e-06
967,0.135495,2.41484e-06
968,0.328139,1.70755e-06
969,0.0512498,0
970,1.88077,0
971,0,1.70755e-06
972,1.95225,1.70755e-06
973,0,0
974,0.168873,0
975,0.646069,1.70755e-06
976,0.0997173,0
977,0.138716,0
978,0.0776439,0
979,0.169421,0
980,0.701425,0
981,0.227851,0
982,0.282132,0
983,0.435388,0
984,0.0144503,0
985,0.419213,0
986,0.00968985,0
987,0.126204,0
988,0.101132,0
989,0.0954109,0
990,0.144249,0
991,0.104174,0
992,0.209803,1.70755e-06
993,0.443935,1.70755e-06
994,1.49495,0
995,0.366032,0
996,0.623682,2.95756e-06
997,0.0116772,0
998,0.417651,0
999,0.240455,0
1000,0.234653,0
1001,0,0
1002,0.111105,0
1003,0.200601,0
1004,0.0592481,0
1005,0.227766,1.70755e-06
1006,0.0820951,0
1007,0.0965561,0
1008,0.188692,0
1009,0.0434158,0
1010,0.11785,2.41484e-06
1011,0.171038,0
1012,0.0326583,1.70755e-06
1013,0.181991,0
1014,0.0196706,1.70755e-06
1015,0.0739733,0
1016,0.800854,0
1017,1.66923,0
1018,1.25843,2.41484e-06
1019,0.798494,1.70755e-06
1020,0.150142,0
1021,0,0
1022,0.301174,0
1023,1.91333,1.70755e-06
1024,0.236579,1.70755e-06
1025,0.180617,0
1026,0.634204,0
1027,0.221061,1.70755e-06
1028,1.95909,0
1029,0.255386,0
1030,0.223761,0
1031,0.127443,0
1032,0.318987,0
1033,0.112686,0
1034,0.196393,0
1035,0.0239719,0
1036,1.93792,0
1037,0.164276,0
1038,0.32171,0
1039,0.041597,0
1040,0.314374,0
1041,0.11242,0
1042,0,1.70755e-06
1043,0.569775,0
1044,0.03159,0
1045,0,2.41484e-06
1046,1.97846,0
1047,0.316823,2.41484e-06
1048,0.133506,1.70755e-06
1049,0.0500051,0
1050,0.0759387,0
1051,0.457471,0
1052,0.717958,0
1053,0.355066,0
1054,0.722898,0
1055,0.102181,0
1056,0.251506,0
1057,0,2.41484e-06
1058,0.293252,2.41484e-06
1059,0.0287772,2.41484e-06
1060,0.32498,0
1061,0.258625,1.70755e-06
1062,0.15413,1.70755e-06
1063,0.013401,0
1064,0,2.41484e-06
1065,0.0468982,0
1066,0.015015,0
1067,0.0367029,1.70755e-06
1068,0.0933782,1.70755e-06
1069,0.0487476,1.70755e-06
1070,0.0582711,0
1071,0.0933355,0
1072,0,0
1073,0.100848,0
1074,0,0
1075,0.256956,0
1076,0.114872,1.70755e-06
1077,0.448926,2.41484e-06
1078,0.0835345,2.41484e-06
1079,0.0268377,0
1080,0.0593591,0
1081,0.0711078,0
1082,0.0392794,2.41484e-06
1083,0.0792152,0
1084,0.0881595,0
1085,0.0360279,0
1086,0.11083,0
1087,0.00983919,0
1088,0.0583278,0
1089,0.0657137,0
1090,0.0160397,0
1091,0.0317193,0
1092,0.0110963,0
1093,0.0280904,0
1094,0.0231508,2.41484e-06
1095,0.0109102,0
1096,0.0205515,0
1097,0.0289162,0
1098,0,0
1099,0.0179993,0
1100,0.0633732,0
1101,0.0116937,0
1102,0.109961,0
1103,0.124568,0
1104,0.059043,2.41484e-06
1105,0.136084,0
1106,0.0359386,0
1107,0.0896548,0
1108,0.0899469,0
1109,0.13645,0
1110,0,0
1111,0.294662,0
1112,0.0328881,0
1113,0,0
1114,0.0379971,0
1115,0.00879229,1.70755e-06
1116,0.0174304,2.41484e-06
1117,0.0863898,1.70755e-06
1118,0.034921,0
1119,0.00430685,0
1120,0.125029,0
1121,0.0146324,1.70755e-06
1122,0.086749,0
1123,0.0395086,1.70755e-06
1124,0.045803,1.70755e-06
1125,0.0156191,1.70755e-06
1126,0,0
1127,0.954455,0
1128,0.0589647,2.41484e-06
1129,0.0582029,0
1130,0.412535,0
1131,0.437982,0
1132,0.50505,1.70755e-06
1133,0,1.70755e-06
1134,0.933397,2.41484e-06
1135,0,1.70755e-06
1136,0.978413,0
1137,0.0866519,1.70755e-06
1138,0.120199,2.41484e-06
1139,0.206254,1.70755e-06
1140,0.256235,2.41484e-06
1141,0.034918,0
1142,0.905749,1.70755e-06
1143,1.36485,0
1144,0.588169,0
1145,1.50104,0
1146,0.822398,0
1147,0,0
1148,0.781048,0
1149,0,0
1150,0.580987,0
1151,0.503844,1.70755e-06
1152,1.61804,2.41484e-06
1153,0.288023,1.70755e-06
1154,0.0418277,0
1155,0.227985,1.70755e-06
1156,0.92153,0
1157,0.438474,0
1158,0.269055,0
1159,0,0
1160,0.81031,0
1161,1.16132,0
1162,0.802675,1.70755e-06
1163,0,0
1164,1.36468,0
1165,0,0
1166,1.27991,0
1167,0,0
1168,0.898047,0
1169,0.0791609,0
1170,0.0767562,1.70755e-06
1171,0.0353439,1.70755e-06
1172,0.119855,0
1173,0.215726,0
1174,0.585249,0
1175,0.473972,1.70755e-06
1176,0.0853335,0
1177,0.268715,2.41484e-06
1178,0.228534,0
1179,0.0233793,0
1180,0.0445402,0
1181,0.0541592,0
1182,0.031274,0
1183,0.016847,0
1184,0.0567926,0
1185,0.0188145,1.70755e-06
1186,0,0
1187,0.0592828,0
1188,0,0
1189,0.075012,0
1190,0,0
1191,0.0383467,0
1192,0.029783,2.41484e-06
1193,0.00602847,1.70755e-06
1194,0.0728092,0
1195,0.0431882,0
1196,0.00272712,0
1197,0.0436836,0
1198,0.0592599,0
1199,0.176154,0
1200,0.0713383,0
1201,0,0
1202,0.561626,0
1203,0.0555204,0
1204,0.0820094,0
1205,0.148734,0
1206,0.0363995,0
1207,0.0233988,0
1208,0.0809482,0
1209,0.168142,2.41484e-06
1210,0.183345,0
1211,0.138271,0
1212,0.0163898,0
1213,0.0847248,0
1214,0.0834921,0
1215,0.197433,0
1216,0.0786959,0
1217,0.0704285,0
1218,0.0986535,1.70755e-06
1219,0.0529797,0
1220,0,0
1221,0.0590504,1.70755e-06
1222,0.266812,1.70755e-06
1223,0.115946,0
1224,0.0409865,0
1225,0.00403273,0
1226,0.0205881,0
1227,0.198438,0
1228,0.134092,1.70755e-06
1229,0.415889,0
1230,0.558888,0
1231,0.219376,0
1232,0.0643521,0
1233,0.036383,0
1234,0.0900241,1.70755e-06
1235,0.0463782,0
1236,0.0519703,0
1237,0.119374,0
1238,0.15718,1.70755e-06
1239,0.103763,0
1240,0,0
1241,0.67912,0
1242,0.378004,2.41484e-06
1243,0.582501,0
1244,1.94784,0
1245,0.313041,1.70755e-06
1246,1.61854,1.70755e-06
1247,0.294003,1.70755e-06
1248,0.140048,1.70755e-06
1249,0.0602539,0
1250,0.246381,0
1251,0,0
1252,0.298323,0
1253,0.540104,0
1254,1.43759,0
1255,0.109293,1.70755e-06
1256,0.233358,0
1257,0.125789,2.41484e-06
1258,0.238614,0
1259,0.160214,0
1260,0.0488625,0
1261,0.00910996,1.70755e-06
1262,0.821693,1.70755e-06
1263,0,0
