frame,trans_error,rot_error_deg
272,1.39845,2.40721
273,0,13.1562
274,0.421064,2.43022
275,0,47.5683
276,1.10988,17.9711
277,0.785076,59.2702
278,0.634238,79.2574
279,1.46832,29.4546
280,0,2.73211
281,0.84405,90.1797
282,0.351009,1.36285
283,1.45728,3.74083
284,0.398183,1.1963
285,1.60802,44.9156
286,0.815581,2.60218
287,1.58472,37.8696
288,1.44399,4.65468
289,1.79865,2.54227
290,0.907046,3.36083
291,1.22331,7.68709
292,1.12437,1.34623
293,0.0379607,0.245516
294,1.59508,2.13683
295,1.54777,8.46315
296,0.0516065,0.200664
297,1.53133,6.26037
298,0.343936,102.869
299,0.194059,137.348
300,0.258145,151.259
301,1.49124,3.19259
302,1.21796,2.33117
303,0.363675,102.618
304,0.789373,3.12713
305,1.48344,5.54879
306,0,21.1687
307,1.16281,185.102
308,1.26857,45.0309
309,1.61174,19.7023
310,0.170497,0.318876
311,1.7302,1.22639
312,0.379795,0.511688
313,1.13006,71.1582
314,0.319922,1.44536
315,0.878212,151.404
316,0.171404,0.504097
317,0.109774,0.116779
318,0.882028,220.673
319,1.34024,0.817949
320,0.357254,34.7418
321,1.51082,5.47461
322,0,66.6132
323,0.492063,27.7112
324,0.509804,28.5994
325,0,1.01519
326,0.255699,43.4543
327,1.28244,22.1313
328,1.39744,2.96416
329,1.53355,3.56689
330,0.252323,1.17037
331,0.133021,65.3991
332,1.91487,16.7478
333,0.0509343,0.535807
334,1.93118,3.49898
335,1.62529,9.64765
336,0.488752,65.7033
337,1.23825,6.67398
338,1.06586,236.252
339,0.374762,0.766056
340,0.451856,1.24476
341,0.386335,207.203
342,1.85988,18.5582
343,0.311367,0.456149
344,0.458903,0.865267
345,0.700632,2.76185
346,0.32258,0.694562
347,1.45177,2.62255
348,1.66082,12.0978
349,0.367423,0.623327
350,0,4.85894
351,0.229511,1.67675
352,1.94601,17.8114
353,1.77007,4.06548
354,0.733217,4.31738
355,0.627756,0.603079
356,1.5949,5.81321
357,0.0609776,0.225712
358,1.39468,44.8809
359,0.479731,3.34445
360,0,6.48464
361,0.144618,1.7022
362,0.586274,14.7715
363,0.270754,0.594854
364,0.289272,2.3295
365,1.48962,104.123
366,1.19647,0.882375
367,0.577426,25.0939
368,1.71223,2.13067
369,0.555679,3.04312
370,1.89849,8.47478
371,1.83386,1.17542
372,1.26897,239.467
373,0.205064,0.785662
374,0.957506,20.4647
375,0.838963,34.5125
376,0.217708,0.235782
377,0.586204,2.47745
378,1.47893,4.17598
379,1.93633,9.00919
380,1.47806,10.0772
381,1.69524,11.6018
382,1.96386,27.6485
383,1.37404,0.372117
384,0.904439,2.03835
385,1.69426,1.11282
386,1.35312,1.51818
387,0.57575,0.312784
388,1.24674,16.6164
389,1.39755,6.25798
390,1.36043,1.33258
391,0.744477,0.749886
392,0.844316,0.65997
393,1.11917,13.4022
394,1.1252,62.3884
395,0.122826,0.124402
396,1.10359,23.0646
397,1.26561,1.6775
398,0.412345,152.809
399,0.793486,4.42162
400,1.3762,9.3617
401,1.01769,0.44486
402,0.463231,0.328303
403,0.675152,5.45735
404,1.24959,0.873823
405,1.38111,4.22669
406,1.81812,1.3093
407,1.09457,20.1916
408,1.44604,1.26357
409,0.243505,0.891587
410,1.42042,2.44689
411,1.01622,60.4484
412,1.22171,58.0184
413,0,3.06123
414,1.57076,9.81034
415,0.188552,0.578392
416,0.322765,204.187
417,1.43073,8.24449
418,1.22562,38.169
419,1.21233,15.2675
420,1.16853,3.08219
421,1.25286,13.8734
422,0.317686,0.329607
423,0,13.1555
424,0.279723,0.157157
425,1.38033,1.40436
426,0.685612,171.47
427,1.4327,6.52957
428,0.14301,0.291193
429,0.918774,71.705
430,1.10258,79.9108
431,0.324777,0.47652
432,0.705136,164.806
433,1.03503,0.711266
434,1.21243,4.08831
435,0.49312,188.215
436,0.225451,0.191095
437,0,5.42479
438,1.13696,6.33023
439,1.18511,10.5869
440,1.25765,8.08861
441,1.31424,7.26764
442,0.057061,0.112471
443,0.0245186,0.0844276
444,1.00947,20.6756
445,0.904505,10.3532
446,0.697384,1.03995
447,1.03979,60.4346
448,1.38885,51.9798
449,1.17768,2.47401
450,0.844227,1.82428
451,0.119181,0.115529
452,0.230495,0.33403
453,1.05579,0.588424
454,0.194799,0.134475
455,0.783522,5.66042
456,0.24344,0.13858
457,0.913756,5.95542
458,0.546531,0.160387
459,1.18999,0.995101
460,0.809629,0.750979
461,1.12683,0.772423
462,0.709312,81.3464
463,1.12564,68.9271
464,0,0.901892
465,0.682696,0.181597
466,0,0.407218
467,0.540516,0.313822
468,1.32867,1.69471
469,1.17082,40.3632
470,1.08821,25.2468
471,1.02656,1.68167
472,0.939664,1.29897
473,1.21149,2.69603
474,1.40552,3.2106
475,0.725461,0.506045
476,0.9416,47.0955
477,1.23166,1.66987
478,0,0.107529
479,1.4042,2.16143
480,0.2257,0.133262
481,0.738532,81.6132
482,1.2283,15.0455
483,0.693175,0.635471
484,1.26704,5.6656
485,1.34049,3.01215
486,0.53273,1.03425
487,1.05728,2.13804
488,1.13067,1.28922
489,0.240543,0.651943
490,1.2709,2.58805
491,0,5.20543
492,1.30065,3.03501
493,1.08429,2.6843
494,1.33486,6.31546
495,0.39699,0.0920176
496,1.20094,5.27684
497,0.855106,1.2927
498,0.283805,0.205186
499,0.433214,1.57569
500,1.4117,2.60623
501,0.773621,1.31271
502,1.26259,10.9568
503,1.39585,6.65287
504,1.62573,21.7436
505,1.08528,1.55864
506,1.32625,8.89608
507,0.124339,0.450822
508,1.50969,5.09044
509,0,20.6659
510,1.28435,37.8168
511,0.759949,2.16636
512,0.425531,208.899
513,1.59986,4.27847
514,0.638223,224.312
515,1.27361,65.9682
516,0.96719,7.65167
517,0.356175,0.376011
518,1.8152,9.63052
519,1.37931,23.0206
520,1.25849,8.40047
521,0.538875,163.276
522,0.514868,203.631
523,0,2.46724
524,1.26221,3.52782
525,0,5.35185
526,0.921796,111.866
527,1.45684,22.2465
528,1.37013,10.5759
529,0.890078,5.96274
530,1.65617,33.9244
531,0.416095,3.00082
532,1.14613,2.18945
533,0,2.62024
534,0.0871855,1.97068
535,1.94831,4.38059
536,1.10909,153.151
537,0,3.80553
538,1.08241,3.50731
539,1.28072,22.8811
540,1.98327,1.90504
541,1.93739,14.6623
542,0.55816,10.3123
543,1.99133,3.89662
544,0.822331,5.87166
545,0.128977,7.79185
546,1.19838,2.64749
547,1.21871,1.5626
548,1.25958,1.64416
549,1.05679,7.06028
550,1.92526,5.0949
551,0.225068,1.21286
552,0.491671,1.00201
553,0.0324517,2.06134
554,0.23357,0.241897
555,1.43981,44.6216
556,0.0705588,10.4372
557,0.910764,2.29749
558,1.79691,7.73502
559,1.19157,14.5192
560,0.316351,0.191659
561,0.514989,6.24304
562,0.458608,0.218805
563,1.15227,6.58456
564,1.81794,1.33627
565,0.746881,2.43151
566,1.88204,2.76597
567,1.85482,11.1093
568,1.57086,2.96245
569,1.68866,3.99161
570,1.50144,2.57893
571,0.658595,0.33925
572,0.624701,0.264399
573,1.04084,0.49872
574,1.06165,9.44047
575,1.32379,10.0801
576,0.969756,0.722439
