frame,trans_error,rot_error_deg
0,nan,nan
1,0,0.106632
2,0.158568,0.146301
3,0.0929973,0.0870847
4,0.0950384,0.150124
5,0.387958,0.448853
6,0.0480011,0.127576
7,0.335171,0.4553
8,0.0661337,0.138013
9,0.0322826,0.115742
10,0.543252,0.714228
11,0.0361529,0.0982757
12,0.293053,0.356642
13,0.174453,0.270736
14,0.0140306,0.0866874
15,0.792303,0.795979
16,0.373737,0.756864
17,0.372117,0.455569
18,0.265726,0.356405
19,0.342466,0.292675
20,0.297842,0.562591
21,0.537232,0.901411
22,0.0861219,0.18683
23,0.263548,0.367933
24,0.212735,0.286923
25,0.379812,0.428388
26,0.528584,1.37179
27,0.263581,0.396089
28,0.230495,0.252112
29,0.3332,0.608944
30,0.12222,0.0949503
31,0,0.68859
32,0.177363,0.310637
33,0,0.316342
34,0.0317122,0.0463408
35,0.116099,0.193214
36,0.0778465,0.101498
37,0.0989444,0.186239
38,0.0325053,0.088089
39,0.0484023,0.082815
40,0.276536,0.19233
41,0,0.123362
42,0.236913,0.199698
43,0.0544281,0.106286
44,0.119503,0.109041
45,0.289486,0.277662
46,0.244294,0.438173
47,0.181578,0.714714
48,0.190609,0.440435
49,0.459302,0.599596
50,0.380483,0.63703
51,0.424626,1.03217
52,0.0395525,1.20685
53,0,1.96574
54,0.188762,1.61424
55,0.598261,1.09103
56,0.0824333,1.0666
57,0.431304,0.404068
58,0.285215,0.587997
59,0.154032,0.510842
60,0.158118,0.348601
61,0.0477387,0.086656
62,0.204395,0.854629
63,0.23651,0.225237
64,0.119245,0.212387
65,0.22191,0.672225
66,0.0653145,0.538006
67,0.0502799,0.182863
68,0.227912,0.435847
69,0.204652,0.550811
70,0.166066,0.577706
71,0.344923,0.951258
72,0.0415363,0.467817
73,0.0396163,0.537552
74,0.726629,0.80252
75,0,2.28881
76,0.173242,1.762
77,0.645283,0.35172
78,0.527395,1.42016
79,0.0600467,0.203992
80,0.25451,0.388742
81,0.0980734,0.738261
82,0,2.00823
83,0.220278,0.941671
84,0.0714485,0.17172
85,0.0943112,0.151025
86,0.0745946,0.0464017
87,0.224899,0.11843
88,0,2.24663
89,0.133699,1.89898
90,1.08366,3.14669
91,0.357029,0.8994
92,0.255637,0.238309
93,0.0943438,0.095245
94,0.0754936,0.255379
95,0.0135472,0.27919
96,0.0737602,0.11042
97,0.152298,0.360833
98,0.0905233,0.364984
99,0.340672,0.329217
