frame,trans_error,rot_error_deg
0,nan,nan
1,0.931928,1.32338
2,0.689515,0.967472
3,0.850189,0.502361
4,0.369348,0.320221
5,0.990464,1.11265
6,0.992103,3.0219
7,0.169654,0.180415
8,0.784797,1.40489
9,0.0712634,0.0807107
10,0.354599,0.488048
11,0.11648,0.0830705
12,0.754882,1.16073
13,0.0202587,0.109324
14,0.169363,0.243313
15,0.195403,0.0792959
16,0.0832238,0.126244
17,0.661967,1.00731
18,0.511793,0.689377
19,0.301623,0.441581
20,0.199463,0.221537
21,0.849381,1.63811
22,0.0819514,0.141565
23,0.249772,0.211469
24,0.523624,0.776457
25,0.225628,0.214199
26,1.10913,1.60239
27,0.6978,1.17734
28,0.250747,0.220915
29,1.05253,2.02394
30,0.985011,1.70673
31,0.97054,2.10721
32,0.0792963,0.0566391
33,0.898958,2.21948
34,0.642134,1.21062
35,0.185961,0.156731
36,0.146381,0.0926994
37,0.468089,0.533598
38,0.91784,2.27982
39,0.236883,0.360526
40,0.179284,0.0963307
41,0.169063,0.25255
42,0.313658,0.408503
43,0.325387,0.398321
44,0.358508,0.242794
45,0,0.268839
46,0.12861,0.153864
47,0.234005,0.260957
48,0.0842298,0.13078
49,0.206672,0.305198
50,0.247968,0.44271
51,0.315572,0.197833
52,0.33623,0.553458
53,0.119335,0.401681
54,0.785477,1.46034
55,0.365912,1.5504
56,0,2.40243
57,0.0831462,1.66191
58,0.432025,0.795609
59,0.434651,0.583674
60,0.28673,0.294586
61,1.22889,1.16785
62,0.211516,0.55835
63,0.208102,0.489952
64,0.439255,1.08565
65,0.317325,1.21867
66,0.101089,0.538541
67,1.0789,1.2974
68,0.0348535,0.302181
69,0.252502,0.606967
70,0.106085,0.75838
71,0.0233235,0.381818
72,0.147044,0.696789
73,0,3.48997
74,0.40548,0.944097
75,0.0311881,0.645111
76,0.226754,1.00626
77,0.199473,1.57465
78,0.117584,0.34205
79,0.121895,0.0674677
80,0.0946506,0.373991
81,0.295056,1.16371
82,0.268331,0.165381
83,0,2.65847
84,0.100961,2.63729
85,0.392464,0.319558
86,0.750832,0.0930641
87,0.199362,0.341876
88,0.236141,0.283475
89,0.169093,0.0542032
90,1.1761,1.73002
91,0.258436,0.15588
92,1.18545,2.27176
93,0.740059,0.86112
94,0.133887,0.43534
95,1.24151,2.95444
96,0.840176,1.85481
97,0,1.72007
98,0.0955,1.98527
